"Fecha","Azteca","BANBIF","BBVA","BCP","Cencosud","Citibank","Comercio","Deutsche","Falabella","GNB","ICBC","Interbank","Mibanco","Pichincha","Ripley","Santander","Scotiabank","Total Banca"
"2016-01-31",11.2,1.39,1.86,2.87,4.98,0,2.06,0,4.25,1.33,57.06,2.38,4.44,3.58,2.55,0.49,2.38,2.55
"2016-02-29",10.97,1.5,1.92,2.79,4.56,0,2.1,0,4.24,1.4,45.55,2.53,4.35,3.68,2.55,0.25,2.49,2.56
"2016-03-31",11.09,1.39,1.88,2.93,4.5,0,2.33,0,4.39,1.37,15.38,2.43,4.41,3.55,2.62,0.24,2.69,2.61
"2016-04-30",11.12,1.42,1.88,2.95,4.98,0,2.32,0,4.66,1.32,9.55,2.36,4.38,3.58,2.8,0.27,2.66,2.62
"2016-05-31",11.25,1.53,2,3.09,5.62,0,2.06,0,4.84,1.35,9.62,2.61,4.43,3.53,1.98,0.26,2.81,2.75
"2016-06-30",11.02,1.51,2.08,3.18,5.3,0,1.88,0,5.04,1.47,10.05,2.66,4.43,3.47,1.99,0.3,2.94,2.82
"2016-07-31",10.7,1.63,2.07,3.2,5.8,0,2.09,NA,5.15,1.31,8.64,2.56,4.46,3.53,2.74,0.35,2.82,2.81
"2016-08-31",10.54,1.71,2.11,3.35,5.76,0,2.37,NA,5.29,1.4,9.19,2.67,4.34,3.57,1.9,0.29,2.9,2.88
"2016-09-30",10.3,1.69,2.09,3.3,5.85,0,2.1,NA,5.42,1.59,9.16,2.53,4.26,3.53,1.61,0.49,2.85,2.83
"2016-10-31",9.99,1.74,2.13,3.4,5.67,0,2.42,NA,5.53,1.62,9.8,2.62,4.25,3.3,1.74,0.38,2.99,2.91
"2016-11-30",9.58,1.67,2.29,3.31,5.14,0,2.39,NA,5.59,1.6,12.06,2.66,4.19,3.08,1.78,0.26,2.9,2.89
"2016-12-31",9.24,1.63,2.09,3.32,5.61,0,2.16,NA,5.57,1.43,0,2.62,4.17,3.14,2.69,0.27,2.84,2.84
"2017-01-31",9.4,1.73,2.4,3.41,5.81,0,2.65,NA,5.84,1.38,0,2.78,4.12,3.25,2.82,0.37,2.88,2.97
"2017-02-28",9.15,1.75,2.51,3.46,5.36,0,2.41,NA,5.97,1.52,0,2.77,4.29,3.3,2.88,0.87,2.94,3.04
"2017-03-31",9.17,1.73,2.39,3.67,5.33,0,2.46,NA,6.19,1.45,0,2.74,4.39,3.61,3.09,0.36,2.9,3.08
"2017-04-30",9.38,1.75,2.65,3.54,5.83,0,2.59,NA,6.27,1.67,0,2.73,4.44,3.54,3.33,0.25,3.01,3.13
"2017-05-31",9.63,1.96,2.78,3.62,6.41,0.97,2.61,NA,6.6,1.8,0,2.91,4.43,3.51,3.13,0.26,3.13,3.24
"2017-06-30",9.58,2,2.63,3.65,5.77,0,2.34,NA,6.89,1.81,0,2.84,4.37,3.45,2.8,0.26,3.19,3.21
"2017-07-31",9.37,2.12,2.81,3.68,5.7,0,2.46,NA,7.16,1.79,0,2.85,4.4,3.45,2.75,0.24,3.23,3.28
