"Bancos","Caja y Bancos en ME / Obligaciones a la Vista ME ( N° de veces)","Caja y Bancos MN / Obligaciones a la Vista MN ( N° de veces )","Creditos Atrasados (criterio SBS)* / Creditos Directos","Creditos Atrasados con mas de 90 dias de atraso / Creditos Directos","Creditos Atrasados ME (criterio SBS)* / Creditos Directos ME","Creditos Atrasados MN (criterio SBS)* / Creditos Directos MN","Creditos Directos / Personal ( S/ Miles )","Creditos Refinanciados y Reestructurados / Creditos Directos","Depositos / Numero de Oficinas ( S/ Miles )","Gastos de Administracion Anualizados / Activo Productivo Promedio","Gastos de Operacion / Margen Financiero Total","Ingresos Financieros / Ingresos Totales","Ingresos Financieros Anualizados / Activo Productivo Promedio","Pasivo Total / Capital Social y Reservas ( N° de veces )","Periodo","Provisiones / Creditos Atrasados","Ratio de Capital Global (al mes anterior)","Ratio de Liquidez ME (Promedio de saldos del mes)","Ratio de Liquidez MN (Promedio de saldos del mes)","Utilidad Neta Anualizada / Activo Promedio","Utilidad Neta Anualizada / Patrimonio Promedio"
"Azteca",4.16,54.73,11.2,9.22,0,11.2,168,0.03,4378.47,19.04,62.47,97.06,43.9,6.94,2016-01-31,248.42,22.22,80.53,91.16,0.92,8.09
"B. del Comercio",9.23,1.01,3.74,3.3,15.69,2.06,1761,1.83,73201.58,4.93,44.42,90.2,12.87,8.33,2016-01-31,166.08,12.2,88.22,24.88,1.61,13.22
"BBVA",1.5,0.33,2.33,2.02,3.23,1.86,8906,1.75,144364.95,2.24,42.05,84.28,7.86,15.09,2016-01-31,197.06,13.31,51.28,27.94,1.84,23.73
"BCP",1.01,0.19,2.53,1.95,1.95,2.87,3606,0.85,161660.45,2.96,36.03,83.04,8.2,12.18,2016-01-31,154.08,14.34,39.94,26.98,2.25,23.45
"BIF",1.96,0.57,1.96,1.69,2.98,1.39,5857,1.81,88041.98,2.55,44.57,86.06,8.16,16.99,2016-01-31,187.76,12.33,55.17,11.96,1.03,13.9
"Cencosud",0,0,4.98,4.24,0,4.98,521,0.96,6630.65,31,74.66,82.13,45.3,2.27,2016-01-31,142.32,22.25,233.41,136.18,1.18,4.33
"Citibank",0.6,0.4,0,0,0,0,7599,0,4408270.32,4.18,47.72,82.25,6.53,7.95,2016-01-31,0,17.5,104.87,38.57,4.68,33.13
"Deutsche",121.1,1546.26,0,NA,0,0,0,0,211.95,7.27,47.32,76.39,22.56,2.35,2016-01-31,0,49.98,92.01,788.47,9.19,23.3
"Falabella",0,0,4.35,4.03,9.04,4.25,1622,1.52,33282.89,11.31,54.47,87.52,24.73,7.82,2016-01-31,170.26,14.54,106.03,29.85,2.68,19.13
"GNB",1.83,0.68,2.01,1.69,3.64,1.33,5686,0.61,256146.56,3.01,49.19,92.99,8.25,8.69,2016-01-31,176.94,12.23,51.01,17.74,0.89,7.97
"ICBC",4.08,7.57,3.81,3.81,0,57.06,2526,0,144003.63,4.88,139.23,91.55,4.12,2.24,2016-01-31,117.7,45.51,81.18,782.74,-2.47,-8.05
"Interbank",1.73,0.4,2.36,2.18,2.3,2.38,3588,0.98,84049.43,3.67,42.41,87.54,11.22,13.24,2016-01-31,191.87,15.53,62.85,27.39,2.27,25.96
"Mibanco",112.12,9.58,4.78,3.08,14.11,4.44,759,1.08,18442.77,8.3,57.22,98.2,19.4,8.8,2016-01-31,150.77,15.32,45.31,37.17,1.78,14.97
"Pichincha",3.61,2.85,4.26,3.18,5.51,3.58,3715,1.81,59193.94,4.14,59.59,88.82,11.23,13.25,2016-01-31,97.88,11.56,29.51,20.05,0.88,11.19
"Ripley",0,0,2.55,2.21,0,2.55,962,0.28,34495.67,16.41,56.07,89.61,32.73,6.4,2016-01-31,249.03,13.6,358.24,31.91,4.04,19.64
"Santander",3.98,7.13,0.69,0.37,0.89,0.49,33246,0.16,3299082.41,1.19,40.77,91.41,4.74,11.05,2016-01-31,304.21,14.04,55.49,27.25,1.41,14.2
"Scotiabank",1.29,0.29,2.95,2.49,3.99,2.38,6822,0.53,149910.41,2.54,35.21,86.06,7.52,10.46,2016-01-31,130.48,13.97,44.55,18.84,1.97,17.64
"Azteca",41.62,112.37,10.97,8.93,0,10.97,172,0.03,4148.42,19.54,63.35,96.83,43.88,6.56,2016-02-29,250.02,22.75,79.47,90.89,0.84,7.22
"B. del Comercio",12.4,0.66,3.73,3.32,17.25,2.1,1745,1.72,72697.32,4.8,47.95,89.32,12.67,8.32,2016-02-29,170.29,12.08,87.69,19.25,1.6,13.07
"BBVA",1.5,0.21,2.42,2.12,3.44,1.92,9004,1.69,144988.45,2.13,42.12,83.31,7.72,15.23,2016-02-29,191.56,13.39,48.49,28.65,1.8,23.39
"BCP",1.06,0.2,2.51,1.91,2.04,2.79,3687,0.86,165255.19,2.94,37.14,81.91,8.33,12.6,2016-02-29,153.9,14.12,43.25,25.87,2.28,23.65
"BIF",2.04,0.36,2.17,1.7,3.38,1.5,5919,1.83,90630.06,2.51,45.92,85.89,8.13,17.4,2016-02-29,173.72,12.4,53.94,11.38,1.02,13.88
